file,column,dtype_first_chunk,null_count,null_fraction
application_train.csv,SK_ID_CURR,int64,0,0.0
application_train.csv,TARGET,int64,0,0.0
application_train.csv,NAME_CONTRACT_TYPE,object,0,0.0
application_train.csv,CODE_GENDER,object,0,0.0
application_train.csv,FLAG_OWN_CAR,object,0,0.0
application_train.csv,FLAG_OWN_REALTY,object,0,0.0
application_train.csv,CNT_CHILDREN,int64,0,0.0
application_train.csv,AMT_INCOME_TOTAL,float64,0,0.0
application_train.csv,AMT_CREDIT,float64,0,0.0
application_train.csv,AMT_ANNUITY,float64,12,3.9022994299390916e-05
application_train.csv,AMT_GOODS_PRICE,float64,278,0.0009040327012692228
application_train.csv,NAME_TYPE_SUITE,object,1292,0.004201475719567756
application_train.csv,NAME_INCOME_TYPE,object,0,0.0
application_train.csv,NAME_EDUCATION_TYPE,object,0,0.0
application_train.csv,NAME_FAMILY_STATUS,object,0,0.0
application_train.csv,NAME_HOUSING_TYPE,object,0,0.0
application_train.csv,REGION_POPULATION_RELATIVE,float64,0,0.0
application_train.csv,DAYS_BIRTH,int64,0,0.0
application_train.csv,DAYS_EMPLOYED,int64,0,0.0
application_train.csv,DAYS_REGISTRATION,float64,0,0.0
application_train.csv,DAYS_ID_PUBLISH,int64,0,0.0
application_train.csv,OWN_CAR_AGE,float64,202929,0.6599081008484249
application_train.csv,FLAG_MOBIL,int64,0,0.0
application_train.csv,FLAG_EMP_PHONE,int64,0,0.0
application_train.csv,FLAG_WORK_PHONE,int64,0,0.0
application_train.csv,FLAG_CONT_MOBILE,int64,0,0.0
application_train.csv,FLAG_PHONE,int64,0,0.0
application_train.csv,FLAG_EMAIL,int64,0,0.0
application_train.csv,OCCUPATION_TYPE,object,96391,0.31345545362604915
application_train.csv,CNT_FAM_MEMBERS,float64,2,6.503832383231819e-06
application_train.csv,REGION_RATING_CLIENT,int64,0,0.0
application_train.csv,REGION_RATING_CLIENT_W_CITY,int64,0,0.0
application_train.csv,WEEKDAY_APPR_PROCESS_START,object,0,0.0
application_train.csv,HOUR_APPR_PROCESS_START,int64,0,0.0
application_train.csv,REG_REGION_NOT_LIVE_REGION,int64,0,0.0
application_train.csv,REG_REGION_NOT_WORK_REGION,int64,0,0.0
application_train.csv,LIVE_REGION_NOT_WORK_REGION,int64,0,0.0
application_train.csv,REG_CITY_NOT_LIVE_CITY,int64,0,0.0
application_train.csv,REG_CITY_NOT_WORK_CITY,int64,0,0.0
application_train.csv,LIVE_CITY_NOT_WORK_CITY,int64,0,0.0
application_train.csv,ORGANIZATION_TYPE,object,0,0.0
application_train.csv,EXT_SOURCE_1,float64,173378,0.5638107254699832
application_train.csv,EXT_SOURCE_2,float64,660,0.0021462646864665006
application_train.csv,EXT_SOURCE_3,float64,60965,0.19825307062186392
application_train.csv,APARTMENTS_AVG,float64,156061,0.5074972927797705
application_train.csv,BASEMENTAREA_AVG,float64,179943,0.5851595552679416
application_train.csv,YEARS_BEGINEXPLUATATION_AVG,float64,150007,0.48781019215572774
application_train.csv,YEARS_BUILD_AVG,float64,204488,0.6649778381911542
application_train.csv,COMMONAREA_AVG,float64,214865,0.6987229725115525
application_train.csv,ELEVATORS_AVG,float64,163891,0.532959796560123
application_train.csv,ENTRANCES_AVG,float64,154828,0.503487680115508
application_train.csv,FLOORSMAX_AVG,float64,153020,0.4976082156410665
application_train.csv,FLOORSMIN_AVG,float64,208642,0.6784862980511266
application_train.csv,LANDAREA_AVG,float64,182590,0.5937673774271489
application_train.csv,LIVINGAPARTMENTS_AVG,float64,210199,0.6835495315614726
application_train.csv,LIVINGAREA_AVG,float64,154350,0.5019332641759157
application_train.csv,NONLIVINGAPARTMENTS_AVG,float64,213514,0.6943296337366793
application_train.csv,NONLIVINGAREA_AVG,float64,169682,0.5517916432257708
application_train.csv,APARTMENTS_MODE,float64,156061,0.5074972927797705
application_train.csv,BASEMENTAREA_MODE,float64,179943,0.5851595552679416
application_train.csv,YEARS_BEGINEXPLUATATION_MODE,float64,150007,0.48781019215572774
application_train.csv,YEARS_BUILD_MODE,float64,204488,0.6649778381911542
application_train.csv,COMMONAREA_MODE,float64,214865,0.6987229725115525
application_train.csv,ELEVATORS_MODE,float64,163891,0.532959796560123
application_train.csv,ENTRANCES_MODE,float64,154828,0.503487680115508
application_train.csv,FLOORSMAX_MODE,float64,153020,0.4976082156410665
application_train.csv,FLOORSMIN_MODE,float64,208642,0.6784862980511266
application_train.csv,LANDAREA_MODE,float64,182590,0.5937673774271489
application_train.csv,LIVINGAPARTMENTS_MODE,float64,210199,0.6835495315614726
application_train.csv,LIVINGAREA_MODE,float64,154350,0.5019332641759157
application_train.csv,NONLIVINGAPARTMENTS_MODE,float64,213514,0.6943296337366793
application_train.csv,NONLIVINGAREA_MODE,float64,169682,0.5517916432257708
application_train.csv,APARTMENTS_MEDI,float64,156061,0.5074972927797705
application_train.csv,BASEMENTAREA_MEDI,float64,179943,0.5851595552679416
application_train.csv,YEARS_BEGINEXPLUATATION_MEDI,float64,150007,0.48781019215572774
application_train.csv,YEARS_BUILD_MEDI,float64,204488,0.6649778381911542
application_train.csv,COMMONAREA_MEDI,float64,214865,0.6987229725115525
application_train.csv,ELEVATORS_MEDI,float64,163891,0.532959796560123
application_train.csv,ENTRANCES_MEDI,float64,154828,0.503487680115508
