feature,null_count,null_fraction
CC_UTILIZATION_MAX,230450,0.7494040863578864
CC_BALANCE_SUM,229577,0.7465651635226057
CC_DELINQUENCY_RATE,229577,0.7465651635226057
CC_DELINQUENT_COUNT,229577,0.7465651635226057
CC_DPD_DEF_MAX,229577,0.7465651635226057
CC_DPD_MAX,229577,0.7465651635226057
CC_DPD_MEAN,229577,0.7465651635226057
CC_DPD_SUM,229577,0.7465651635226057
CC_DRAWINGS_SUM,229577,0.7465651635226057
CC_LATEST_MONTH,229577,0.7465651635226057
CC_LIMIT_SUM,229577,0.7465651635226057
CC_MONTH_COUNT,229577,0.7465651635226057
CC_PAYMENT_MIN_RATIO_MEAN,229577,0.7465651635226057
CC_PAYMENT_MIN_RATIO_SUM,229577,0.7465651635226057
CC_PAYMENT_SUM,229577,0.7465651635226057
CC_UTILIZATION_MEAN,229577,0.7465651635226057
CC_UTILIZATION_SUM,229577,0.7465651635226057
BUREAU_BALANCE_DELINQUENCY_RATE_MAX,215280,0.700072517731073
BUREAU_BALANCE_MAX_SEVERITY,215280,0.700072517731073
BUREAU_BALANCE_SEVERE_RATE_MAX,215280,0.700072517731073
COMMONAREA_AVG,214865,0.6987229725115525
COMMONAREA_MEDI,214865,0.6987229725115525
COMMONAREA_MODE,214865,0.6987229725115525
NONLIVINGAPARTMENTS_AVG,213514,0.6943296337366793
NONLIVINGAPARTMENTS_MEDI,213514,0.6943296337366793
NONLIVINGAPARTMENTS_MODE,213514,0.6943296337366793
FONDKAPREMONT_MODE,210295,0.6838617155158677
LIVINGAPARTMENTS_AVG,210199,0.6835495315614726
LIVINGAPARTMENTS_MEDI,210199,0.6835495315614726
LIVINGAPARTMENTS_MODE,210199,0.6835495315614726
FLOORSMIN_AVG,208642,0.6784862980511266
FLOORSMIN_MEDI,208642,0.6784862980511266
FLOORSMIN_MODE,208642,0.6784862980511266
YEARS_BUILD_AVG,204488,0.6649778381911542
YEARS_BUILD_MEDI,204488,0.6649778381911542
YEARS_BUILD_MODE,204488,0.6649778381911542
OWN_CAR_AGE,202929,0.6599081008484249
LANDAREA_AVG,182590,0.5937673774271489
LANDAREA_MEDI,182590,0.5937673774271489
LANDAREA_MODE,182590,0.5937673774271489
BASEMENTAREA_AVG,179943,0.5851595552679416
