feature,kind,bin,count,bad,good,bad_rate,bad_distribution,good_distribution,woe,iv_contribution,lower_bound,upper_bound,categories
EXT_SOURCE_2,numeric,N0,11275.0,2312.5148305193675,8962.485169480633,0.20510109361590842,0.1441034199069834,0.053201023128627394,-0.9964536076929582,0.09058002121772957,-inf,0.1572733295432992,
EXT_SOURCE_2,numeric,N1,10646.0,1570.6299038561515,9075.370096143848,0.1475323975066834,0.09788315633625405,0.05387106703483985,-0.5971809409678115,0.026283180902977883,0.1572733295432992,0.2467856705956364,
EXT_SOURCE_2,numeric,N2,10396.0,1348.2111860926984,9047.788813907302,0.12968557003585018,0.08402622059242104,0.053707354565563414,-0.4475789513791281,0.01357008626330521,0.2467856705956364,0.311002027845913,
EXT_SOURCE_2,numeric,N3,10420.0,1287.6813399915477,9132.318660008452,0.12357786372279729,0.08025514324586523,0.05420909301681059,-0.3923621880356015,0.010219485257557061,0.311002027845913,0.3740640622687354,
EXT_SOURCE_2,numeric,N4,10147.0,1142.4111798307586,9004.588820169241,0.11258610227956624,0.07120464922680855,0.05345093510011112,-0.28679398224032904,0.005091658373951943,0.3740640622687354,0.4288177160311384,
EXT_SOURCE_2,numeric,N5,9943.0,965.260299764141,8977.73970023586,0.09707938245641567,0.06016795057693464,0.05329156848022393,-0.12136169931198237,0.000834529416375304,0.4288177160311384,0.4733563482855031,
EXT_SOURCE_2,numeric,N6,9660.0,904.5858751851807,8755.414124814819,0.09364243014339345,0.05638786582894655,0.05197192464991448,-0.08155032828153999,0.00036012145282203635,0.4733563482855031,0.508516296415374,
EXT_SOURCE_2,numeric,N7,9459.0,814.889344949431,8644.110655050568,0.08614962944808446,0.05079967132616451,0.051311267697207785,0.01002048667299354,5.126444617991001e-06,0.508516296415374,0.5385814547552851,
EXT_SOURCE_2,numeric,N8,9359.0,794.2227040920488,8564.777295907952,0.08486191944567249,0.04951211640596132,0.05084037370432365,0.02647338139076687,3.5163462044615515e-05,0.5385814547552851,0.5642287747382214,
EXT_SOURCE_2,numeric,N9,18050.0,1305.9271770450914,16744.07282295491,0.07235053612438179,0.08139187937214888,0.09938969988105308,0.19977297934724952,0.0035954782248208217,0.5642287747382214,0.6061061902538124,
EXT_SOURCE_2,numeric,N10,8836.0,580.2378681001751,8255.762131899824,0.06566748167724933,0.036180620962095095,0.049006171976145894,0.303422605924058,0.0038915621110952384,0.6061061902538124,0.6247282979454978,
EXT_SOURCE_2,numeric,N11,17190.0,1003.979094365449,16186.02090563455,0.058404833878152936,0.06258017493585571,0.09607730647651778,0.42870460957188816,0.014360374698917714,0.6247282979454978,0.6586061749709047,
EXT_SOURCE_2,numeric,N12,8374.0,452.2671259015387,7921.732874098461,0.0540084936591281,0.028207900097733992,0.04702349567646411,0.5110453007871384,0.009615621702021286,0.6586061749709047,0.6751487463200013,
EXT_SOURCE_2,numeric,N13,8412.0,420.484627736679,7991.515372263321,0.049986284799890514,0.0262278147916163,0.04743769922903534,0.5925967740678141,0.012568909095965657,0.6751487463200013,0.6920517787017804,
EXT_SOURCE_2,numeric,N14,8169.0,360.99216110569853,7808.007838894301,0.04419049591206984,0.022521367350334064,0.04634846519121886,0.7217236594221086,0.017196580247131995,0.6920517787017804,0.7094838193523384,
EXT_SOURCE_2,numeric,N15,8060.0,306.92903858737486,7753.070961412625,0.03808052587932691,0.019153174140785403,0.04602237984864024,0.8766593432576265,0.02355514022970209,0.7094838193523384,0.7291434219375909,
EXT_SOURCE_2,numeric,N16,7920.0,237.92395778019974,7682.0760422198,0.03004090376012623,0.014854080160035237,0.045600979805398685,1.1216546174888924,0.0344874019606895,0.7291434219375909,0.7529064505342501,
EXT_SOURCE_2,numeric,N17,7777.0,196.77677353056066,7580.223226469439,0.02530240112261292,0.012290564400568901,0.04499641850087912,1.2977510516487731,0.04244405655374892,0.7529064505342501,inf,
EXT_SOURCE_2,numeric,MISSING,413.0,35.650718610850575,377.34928138914944,0.08632135256864545,0.002252230342487196,0.0022427760370247497,-0.004206587757915518,3.977036561792107e-08,,,
EXT_SOURCE_3,numeric,N0,9187.0,1904.0179357715854,7282.982064228415,0.2072513264146713,0.1186609976092589,0.04323235958050504,-1.0096813888821559,0.07615889200636158,-inf,0.1735274304649146,
EXT_SOURCE_3,numeric,N1,8731.0,1433.3670981781793,7297.632901821821,0.16416986578607023,0.08933709528967221,0.04331932214503231,-0.7238180280188742,0.03330849381137316,0.1735274304649146,0.2525986978339766,
EXT_SOURCE_3,numeric,N2,8574.0,1163.4963098115225,7410.503690188478,0.13570052598688156,0.0725227947405881,0.04398928610811641,-0.49995481593399127,0.014265465056298339,0.2525986978339766,0.3108182544189319,
EXT_SOURCE_3,numeric,N3,8392.0,969.3805014456578,7422.6194985543425,0.11551245250782387,0.060428408523590174,0.04406120157097641,-0.31587972191465136,0.005170068780711183,0.3108182544189319,0.3589512285783967,
EXT_SOURCE_3,numeric,N4,8071.0,900.4722320693619,7170.527767930638,0.11156885541684573,0.05613507852436066,0.042564867777676915,-0.27673168978964763,0.0037553073507314277,0.3589512285783967,0.3996756156233169,
EXT_SOURCE_3,numeric,N5,8094.0,751.4585983312545,7342.5414016687455,0.09284143789612732,0.04685078347802342,0.04358588426415095,-0.0722343891359203,0.00023583800030442428,0.3996756156233169,0.4382813743111921,
EXT_SOURCE_3,numeric,N6,7667.0,636.1308901617812,7030.869109838219,0.0829699869781898,0.03966529015903561,0.04173589980989186,0.050885163180916154,0.00010536330996780021,0.4382813743111921,0.4722533429586386,
EXT_SOURCE_3,numeric,N7,7232.0,523.2348326487149,6708.7651673512855,0.07234994920474487,0.0326313008439256,0.03982399650030795,0.19919768143474434,0.0014327682980171208,0.4722533429586386,0.5028782772082183,
EXT_SOURCE_3,numeric,N8,14742.0,984.7985976309545,13757.201402369046,0.06680223834153809,0.061389033068111255,0.08166120116497405,0.2853477904528031,0.005784618374127606,0.5028782772082183,0.5585066276769286,
EXT_SOURCE_3,numeric,N9,14512.0,792.4730258820346,13719.526974117965,0.05460811920355806,0.049406187550695764,0.0814375781211088,0.4997611437485488,0.0160080443873261,0.5585066276769286,0.6127042441012546,
EXT_SOURCE_3,numeric,N10,6664.0,346.14070711633536,6317.859292883664,0.05194188282057854,0.021597450643980946,0.03750370749868929,0.5518645127381856,0.008778098688612044,0.6127042441012546,0.6347055309763198,
EXT_SOURCE_3,numeric,N11,7324.0,362.3948256479589,6961.605174352041,0.04948045134461481,0.0226101635641353,0.04132477181664725,0.6030626015997357,0.011286080340679742,0.6347055309763198,0.6594055320683344,
EXT_SOURCE_3,numeric,N12,6704.0,305.85434568344425,6398.145654316556,0.045622664928914716,0.019087408733697058,0.03798026099552897,0.6880376882171049,0.012998994394058128,0.6594055320683344,0.6832688314232291,
EXT_SOURCE_3,numeric,N13,6572.0,259.5284732165876,6312.471526783413,0.03949002939996768,0.016201075064274588,0.03747172748702347,0.8385091129173272,0.017835635894171965,0.6832688314232291,0.7076993447402619,
